repo,stars,created_at,age_years,merged_prs
thedaviddias/Front-End-Checklist,73884,2017-10-16T10:12:36Z,8.86,180
twitter/the-algorithm,73867,2023-03-27T14:57:57Z,3.42,2
unionlabs/union,73824,2023-05-16T22:33:39Z,3.28,3128
binhnguyennus/awesome-scalability,73542,2017-12-27T03:46:40Z,8.66,37
vuejs/awesome-vue,73540,2015-10-20T00:16:14Z,10.85,3655
ComposioHQ/awesome-claude-skills,73355,2025-10-17T07:15:01Z,0.86,38
CompVis/stable-diffusion,73347,2022-08-10T14:36:44Z,4.04,5
microsoft/ai-agents-for-beginners,73279,2024-11-28T10:42:52Z,1.74,511
danielmiessler/SecLists,73105,2012-02-19T01:30:18Z,14.52,709
strapi/strapi,73015,2015-09-30T15:34:48Z,10.9,10406
fffaraz/awesome-cpp,72950,2014-07-17T08:51:11Z,12.11,886
NationalSecurityAgency/ghidra,72868,2019-03-01T03:27:48Z,7.49,589
juliangarnier/anime,72446,2016-03-13T21:37:45Z,10.45,87
OpenBB-finance/OpenBB,72336,2020-12-20T10:46:38Z,5.68,4303
hakimel/reveal.js,72202,2011-06-07T18:54:22Z,15.22,416
chrislgarry/Apollo-11,72194,2014-04-03T15:45:02Z,12.4,0
pallets/flask,72137,2010-04-06T11:11:59Z,16.39,1633
moby/moby,72001,2013-01-18T18:10:57Z,13.6,23082
Asabeneh/30-Days-Of-Python,71957,2019-11-19T17:24:16Z,6.77,145
toeverything/AFFiNE,71916,2022-07-31T18:45:21Z,4.07,9364
daytonaio/daytona,71868,2024-02-06T08:21:20Z,2.55,2505
protocolbuffers/protobuf,71824,2014-08-26T15:52:15Z,12.0,9802
nektos/act,71648,2019-01-02T19:53:43Z,7.65,1061
666ghj/MiroFish,71571,2025-11-26T04:23:02Z,0.75,27
binary-husky/gpt_academic,71245,2023-03-20T09:05:13Z,3.44,228
prakhar1989/awesome-courses,70678,2014-11-15T18:36:49Z,11.78,194
ansible/ansible,70474,2012-03-06T14:58:02Z,14.47,40069
swiftlang/swift,70300,2015-10-23T21:15:07Z,10.84,60795
FoundationAgents/MetaGPT,70050,2023-06-30T09:04:55Z,3.16,673
ruvnet/ruflo,69485,2025-06-02T21:24:20Z,1.23,580
