repo,stars,total_releases,pushed_at,days_since_update
microsoft/autogen,60523,98,2026-04-15T11:59:09Z,126
pi-hole/pi-hole,60488,126,2026-08-04T11:14:35Z,15
marktext/marktext,60310,47,2026-07-27T03:16:54Z,23
adam-p/markdown-here,60249,17,2025-08-22T00:21:50Z,362
sharkdp/bat,60219,43,2026-08-11T14:39:20Z,8
spring-projects/spring-framework,60202,363,2026-08-19T16:41:35Z,0
CorentinJ/Real-Time-Voice-Cloning,60091,0,2026-03-09T10:31:58Z,163
ghostty-org/ghostty,59908,1,2026-08-19T22:49:34Z,0
byoungd/up,59812,0,2026-08-17T05:04:19Z,2
jquery/jquery,59775,13,2026-08-12T10:08:27Z,7
shadowsocks/shadowsocks-windows,59569,55,2025-01-01T08:09:55Z,595
meta-llama/llama,59566,0,2025-01-26T21:42:26Z,570
starship/starship,59491,141,2026-08-17T16:16:09Z,2
FiloSottile/mkcert,59470,14,2024-08-13T13:37:46Z,736
termux/termux-app,59455,95,2026-07-14T20:47:14Z,36
rclone/rclone,59267,131,2026-08-19T12:14:13Z,0
meilisearch/meilisearch,59017,330,2026-08-14T09:38:01Z,5
pathwaycom/llm-app,59008,0,2026-07-05T17:59:07Z,45
penpot/penpot,58899,85,2026-08-19T22:18:21Z,0
rust-unofficial/awesome-rust,58899,0,2026-08-18T15:53:34Z,1
mvanhorn/last30days-skill,58738,41,2026-08-18T17:14:35Z,1
rails/rails,58695,168,2026-08-19T22:36:56Z,0
tiimgreen/github-cheat-sheet,58612,0,2024-04-15T20:15:56Z,856
pmndrs/zustand,58586,105,2026-08-19T13:05:32Z,0
angular/angular.js,58537,0,2024-04-12T17:43:16Z,859
MemPalace/mempalace,58473,15,2026-08-19T23:13:17Z,0
FoundationAgents/OpenManus,58018,3,2026-08-16T10:36:18Z,3
ultralytics/yolov5,57905,10,2026-08-16T10:37:11Z,3
h5bp/html5-boilerplate,57595,34,2026-08-10T23:11:22Z,9
scutan90/DeepLearning-500-questions,57537,0,2024-06-26T12:10:14Z,784
go-gitea/gitea,57500,235,2026-08-19T21:35:19Z,0
deepfakes/faceswap,57469,5,2026-08-05T11:39:37Z,14
zylon-ai/private-gpt,57445,14,2026-08-19T18:20:01Z,0
crewAIInc/crewAI,57338,230,2026-08-19T16:03:53Z,0
karpathy/nanochat,57318,0,2026-08-02T21:05:23Z,17
wasabeef/awesome-android-ui,57254,0,2026-06-05T05:39:52Z,75
Textualize/rich,57089,177,2026-06-23T03:10:19Z,57
appwrite/appwrite,57059,132,2026-08-19T15:32:12Z,0
FuelLabs/fuel-core,56898,130,2026-08-18T21:15:18Z,1
soimort/you-get,56872,123,2026-07-25T08:02:33Z,25
remotion-dev/remotion,56845,672,2026-08-19T15:29:25Z,0
BerriAI/litellm,56767,1000,2026-08-19T23:26:37Z,0
ageitgey/face_recognition,56669,2,2026-06-25T11:12:50Z,55
remix-run/react-router,56556,344,2026-08-19T21:12:42Z,0
golang-standards/project-layout,56476,0,2026-04-28T17:18:05Z,113
makeplane/plane,56155,63,2026-08-19T09:51:05Z,0
Zie619/n8n-workflows,56130,1,2026-06-24T14:16:03Z,56
laurent22/joplin,56015,417,2026-08-19T22:10:01Z,0
jellyfin/jellyfin,55964,112,2026-08-19T22:08:14Z,0
gatsbyjs/gatsby,55941,158,2026-08-19T18:23:45Z,0
azl397985856/leetcode,55758,40,2025-07-16T09:42:17Z,399
Raphire/Win11Debloat,55728,37,2026-08-16T20:49:09Z,3
usestrix/strix,55692,26,2026-08-19T21:53:58Z,0
firstcontributions/first-contributions,55564,0,2026-08-19T22:21:55Z,0
typst/typst,55528,30,2026-08-17T13:16:08Z,2
FlowiseAI/Flowise,55382,85,2026-08-13T12:38:19Z,6
twentyhq/twenty,55149,102,2026-08-19T21:46:09Z,0
