repo,stars,total_releases,pushed_at,days_since_update
mpv-player/mpv,36598,89,2026-08-17T17:57:13Z,2
1Panel-dev/1Panel,36576,125,2026-08-19T10:58:27Z,0
khoj-ai/khoj,36570,173,2026-08-02T01:55:40Z,17
inkonchain/docs,36524,0,2026-08-13T14:41:21Z,6
xinntao/Real-ESRGAN,36520,10,2024-08-06T13:15:18Z,743
HKUDS/DeepTutor,36505,68,2026-08-19T18:17:02Z,0
nextcloud/server,36486,462,2026-08-19T23:08:48Z,0
songquanpeng/one-api,36482,55,2026-01-09T03:26:43Z,222
hankcs/HanLP,36478,62,2025-11-15T23:08:17Z,277
doocs/leetcode,36477,21,2026-08-19T13:10:20Z,0
inkonchain/node,36477,6,2026-08-05T18:22:59Z,14
glanceapp/glance,36463,34,2026-08-19T16:12:46Z,0
open-guides/og-aws,36441,0,2024-08-16T02:51:54Z,733
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,36390,0,2025-08-01T11:54:09Z,383
tinyhumansai/openhuman,36387,56,2026-08-19T21:21:24Z,0
inkonchain/ink-kit,36384,0,2025-10-20T15:44:41Z,303
GorvGoyl/Clone-Wars,36376,0,2024-08-06T12:31:36Z,743
formulahendry/955.WLB,36359,0,2025-02-03T05:15:20Z,562
SheetJS/sheetjs,36322,0,2024-04-18T08:06:46Z,853
reworkd/AgentGPT,36307,12,2025-04-29T01:19:32Z,477
keycloak/keycloak,36289,112,2026-08-19T20:21:25Z,0
microsoft/playwright-mcp,36282,69,2026-08-19T19:40:03Z,0
ItzCrazyKns/Vane,36258,34,2026-04-11T14:33:06Z,130
AdguardTeam/AdGuardHome,36228,244,2026-08-19T16:12:05Z,0
PDFMathTranslate/PDFMathTranslate,36228,24,2026-08-19T19:58:42Z,0
jax-ml/jax,36180,140,2026-08-19T20:18:07Z,0
firecracker-microvm/firecracker,36156,90,2026-08-19T16:38:50Z,0
hashicorp/vault,36141,182,2026-08-19T23:05:13Z,0
pnpm/pnpm,36140,1000,2026-08-19T21:50:34Z,0
geekxh/hello-algorithm,36091,0,2023-06-13T04:13:17Z,1163
carbon-app/carbon,36090,215,2026-02-10T05:07:19Z,190
Yuan1z0825/nature-skills,36064,0,2026-08-19T02:43:19Z,0
lerna/lerna,36050,253,2026-08-19T13:42:19Z,0
slatedocs/slate,36039,28,2026-02-01T05:54:12Z,199
Crosstalk-Solutions/project-nomad,36010,76,2026-08-19T15:39:49Z,0
zsh-users/zsh-autosuggestions,35997,0,2025-06-24T16:15:03Z,421
chatwoot/chatwoot,35994,148,2026-08-19T16:41:31Z,0
medusajs/medusa,35913,163,2026-08-19T23:28:31Z,0
filebrowser/filebrowser,35906,157,2026-07-31T10:06:58Z,19
wailsapp/wails,35893,356,2026-08-19T21:19:05Z,0
OpenBMB/VoxCPM,35871,14,2026-08-12T14:14:37Z,7
solidjs/solid,35870,37,2026-08-19T21:31:43Z,0
XingangPan/DragGAN,35765,0,2024-05-18T17:51:40Z,823
searxng/searxng,35750,0,2026-08-19T13:03:17Z,0
junegunn/vim-plug,35749,8,2026-05-22T13:40:34Z,89
alan2207/bulletproof-react,35723,0,2026-05-14T13:53:04Z,97
airbnb/lottie-android,35701,63,2026-02-15T22:03:57Z,185
jondot/awesome-react-native,35691,0,2024-07-05T13:12:41Z,775
koajs/koa,35687,18,2026-08-11T12:48:44Z,8
opentofu/manifesto,35675,0,2025-03-18T18:26:51Z,519
permissionlesstech/bitchat,35645,20,2026-08-16T06:06:55Z,3
gchq/CyberChef,35612,458,2026-08-18T18:46:40Z,1
restic/restic,35603,51,2026-08-01T20:25:16Z,18
microsoft/graphrag,35585,41,2026-08-19T15:22:39Z,0
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,35575,0,2025-01-01T19:14:38Z,595
continuedev/continue,35546,827,2026-08-19T06:27:27Z,0
refinedev/refine,35535,1000,2026-06-05T15:19:38Z,75
drizzle-team/drizzle-orm,35520,182,2026-08-19T09:27:02Z,0
jqlang/jq,35473,16,2026-08-12T19:02:39Z,7
alvarotrigo/fullPage.js,35408,109,2026-03-17T16:13:31Z,155
casey/just,35373,146,2026-08-12T23:47:50Z,6
tailscale/tailscale,35362,159,2026-08-19T23:25:52Z,0
kuchin/awesome-cto,35344,0,2026-03-02T12:50:21Z,170
nativefier/nativefier,35285,99,2023-09-29T13:45:16Z,1055
typicode/husky,35277,80,2026-03-19T23:03:16Z,153
geekcomputers/Python,35263,0,2026-08-17T11:05:26Z,2
VectifyAI/PageIndex,35252,8,2026-08-19T17:21:07Z,0
sahat/hackathon-starter,35244,18,2026-08-18T13:29:30Z,1
blakeblackshear/frigate,35232,81,2026-08-19T13:17:54Z,0
fxsjy/jieba,35123,9,2024-08-21T09:23:45Z,728
geekan/HowToLiveLonger,35102,0,2025-05-19T14:10:41Z,457
DayuanJiang/next-ai-draw-io,35065,18,2026-08-19T22:13:25Z,0
utmapp/UTM,35058,130,2026-08-05T07:54:18Z,14
hehonghui/awesome-english-ebooks,35048,0,2026-08-14T21:46:01Z,5
netty/netty,35039,13,2026-08-19T15:27:49Z,0
unknwon/the-way-to-go_ZH_CN,35037,0,2024-08-14T07:04:25Z,735
bumptech/glide,35027,59,2026-08-17T07:19:17Z,2
sorrycc/awesome-javascript,35017,0,2026-08-19T17:00:42Z,0
zellij-org/zellij,35001,69,2026-08-19T23:23:29Z,0
awesome-foss/awesome-sysadmin,34932,0,2026-08-19T09:58:40Z,0
gitroomhq/postiz-app,34880,199,2026-08-19T15:44:01Z,0
laravel/framework,34875,966,2026-08-18T20:33:37Z,1
esengine/DeepSeek-Reasonix,34872,189,2026-08-19T21:47:10Z,0
facebookresearch/detectron2,34676,10,2026-08-19T05:38:53Z,0
qishibo/AnotherRedisDesktopManager,34645,55,2026-08-18T14:15:53Z,1
TheAlgorithms/C-Plus-Plus,34588,0,2025-10-11T14:51:22Z,312
BVLC/caffe,34560,14,2024-07-31T23:10:28Z,749
lissy93/web-check,34545,3,2026-08-11T09:01:27Z,8
ocrmypdf/OCRmyPDF,34506,62,2026-08-18T23:58:51Z,0
v2fly/v2ray-core,34491,130,2026-08-17T22:52:51Z,2
kovidgoyal/kitty,34479,143,2026-08-19T21:28:28Z,0
nothings/stb,34443,0,2026-08-02T06:42:09Z,17
anthropics/financial-services,34414,0,2026-08-04T14:41:29Z,15
raysan5/raylib,34398,25,2026-08-19T19:17:17Z,0
derailed/k9s,34394,258,2026-08-19T19:31:15Z,0
SeleniumHQ/selenium,34380,120,2026-08-19T16:03:03Z,0
CMU-Perceptual-Computing-Lab/openpose,34373,15,2024-08-03T01:59:11Z,746
huggingface/diffusers,34343,92,2026-08-19T19:42:05Z,0
xitu/gold-miner,34329,0,2024-04-17T09:44:37Z,854
jaredpalmer/formik,34323,200,2025-11-10T17:02:06Z,282
nodejs/node-v0.x-archive,34289,0,2024-08-15T20:32:32Z,734
python-poetry/poetry,34289,151,2026-08-17T22:01:20Z,2
TheAlgorithms/JavaScript,34219,0,2026-03-07T14:45:13Z,165
openai/CLIP,34196,0,2026-03-25T18:46:40Z,147
balena-io/etcher,34192,291,2026-06-02T09:25:23Z,78
backstage/backstage,34185,542,2026-08-19T20:29:57Z,0
swc-project/swc,34177,818,2026-08-19T05:22:30Z,0
ehang-io/nps,34168,59,2024-05-30T03:51:08Z,811
seaweedfs/seaweedfs,34150,316,2026-08-19T23:23:32Z,0
lightpanda-io/browser,34125,20,2026-08-19T14:42:47Z,0
zenorocha/clipboard.js,34121,42,2026-02-12T18:51:57Z,188
aristocratos/btop,34104,55,2026-08-08T19:49:45Z,11
agentscope-ai/QwenPaw,34101,107,2026-08-19T12:11:23Z,0
testerSunshine/12306,34092,1,2023-04-02T03:19:43Z,1235
xkcoding/spring-boot-demo,34082,0,2024-07-24T02:02:52Z,756
lllyasviel/ControlNet,34076,0,2024-02-25T09:49:39Z,906
zxing/zxing,34070,32,2026-08-17T06:52:29Z,2
qdrant/qdrant,34065,116,2026-08-19T23:00:10Z,0
OpenBMB/ChatDev,34055,12,2026-07-24T08:01:27Z,26
fish-shell/fish-shell,34040,67,2026-08-17T02:22:22Z,2
chenfei-wu/TaskMatrix,34010,0,2024-01-06T02:41:20Z,956
MonitorControl/MonitorControl,33996,26,2026-08-11T12:43:28Z,8
atlassian/react-beautiful-dnd,33948,68,2025-08-18T04:35:31Z,366
K-Dense-AI/scientific-agent-skills,33921,101,2026-08-19T22:41:49Z,0
NginxProxyManager/nginx-proxy-manager,33911,88,2026-08-12T03:02:03Z,7
pcottle/learnGitBranching,33904,0,2026-08-19T13:46:15Z,0
lib-pku/libpku,33869,0,2022-01-05T04:09:27Z,1687
carbon-language/carbon-lang,33862,765,2026-08-19T22:11:41Z,0
explosion/spaCy,33833,137,2026-08-07T11:44:36Z,12
TabbyML/tabby,33830,249,2026-06-30T20:38:02Z,50
halfrost/LeetCode-Go,33792,5,2026-08-05T15:34:29Z,14
k3s-io/k3s,33764,1000,2026-08-18T18:26:58Z,1
SerenityOS/serenity,33761,0,2026-08-19T22:59:31Z,0
mli/paper-reading,33708,0,2025-03-22T03:49:35Z,515
anthropics/claude-plugins-official,33706,0,2026-08-19T18:49:01Z,0
Pythagora-io/gpt-pilot,33694,0,2026-06-18T18:38:25Z,62
alibaba/easyexcel,33671,14,2024-10-29T06:07:07Z,659
valinet/ExplorerPatcher,33662,300,2026-07-06T12:44:31Z,44
anoma/anoma,33658,12,2026-06-15T14:56:43Z,65
Blankj/AndroidUtilCode,33636,117,2024-08-15T10:38:10Z,734
binwiederhier/ntfy,33623,108,2026-08-18T21:43:12Z,1
bayandin/awesome-awesomeness,33610,0,2024-06-02T22:46:41Z,808
shadowsocks/shadowsocks,33561,2,2024-04-01T09:07:32Z,870
apache/kafka,33560,0,2026-08-19T22:39:54Z,0
tinygrad/tinygrad,33468,15,2026-08-19T22:01:06Z,0
XX-net/XX-Net,33451,390,2026-06-21T23:53:56Z,58
microsoft/WSL,33446,108,2026-08-19T22:49:52Z,0
langfuse/langfuse,33404,657,2026-08-19T21:42:05Z,0
AFNetworking/AFNetworking,33394,40,2023-01-17T19:30:05Z,1310
nicolargo/glances,33383,61,2026-08-18T11:20:49Z,1
lutzroeder/netron,33369,9,2026-08-18T12:11:10Z,1
MetaCubeX/mihomo,33366,62,2026-08-18T00:18:57Z,1
mckaywrigley/chatbot-ui,33339,0,2024-08-03T00:38:07Z,746
google/comprehensive-rust,33316,0,2026-08-05T08:02:33Z,14
remix-run/remix,33311,639,2026-08-19T19:06:54Z,0
motiondivision/motion,33287,0,2026-08-19T04:58:32Z,0
alibaba/nacos,33281,98,2026-08-19T08:18:39Z,0
zeromicro/go-zero,33264,154,2026-08-17T19:53:59Z,2
dgtlmoon/changedetection.io,33254,216,2026-08-16T16:33:00Z,3
waydabber/BetterDisplay,33236,133,2026-08-18T21:57:21Z,1
certbot/certbot,33205,72,2026-08-18T20:29:04Z,1
linshenkx/prompt-optimizer,33199,47,2026-08-13T14:23:12Z,6
bilibili/ijkplayer,33196,0,2024-08-13T00:53:33Z,736
vbenjs/vue-vben-admin,33172,63,2026-08-19T19:47:38Z,0
qier222/YesPlayMusic,33171,32,2026-06-14T12:57:40Z,66
cursor/cursor,33144,0,2026-05-12T15:25:06Z,99
pear-devs/pear-desktop,33122,88,2026-08-19T07:57:13Z,0
Leey21/awesome-ai-research-writing,33118,0,2026-08-19T02:47:43Z,0
datawhalechina/happy-llm,33068,3,2026-08-08T17:18:48Z,11
AlexsJones/llmfit,33044,128,2026-08-19T13:43:10Z,0
immutable-js/immutable-js,33039,100,2026-08-17T09:22:33Z,2
binarywang/WxJava,33031,31,2026-08-18T07:12:09Z,1
ibraheemdev/modern-unix,33019,0,2024-09-10T19:48:56Z,708
adobe/brackets,33014,69,2022-06-12T08:19:24Z,1529
tokio-rs/tokio,32957,154,2026-08-17T19:51:44Z,2
FreeCAD/FreeCAD,32954,115,2026-08-19T23:20:55Z,0
gulpjs/gulp,32950,24,2026-02-09T06:30:13Z,191
